,评论
0,还有2.5%想干什么？想都不敢想
1,我家两个孩子，一个一年级一个三年级，学校老师都是让家委会家长填的，填完要截图给她，老师要发给领导。所以结果你懂的！自己的孩子自己鸡，没办法
2,就想问教育部的敢来知乎看看评论吗？
3,如何？作为家长之一，我也不知道如何。但我知道我们学校今天下午刚发出这个调查问卷，而教育部昨天上午11点就已经公布结果了。你说你着什么急嘛，露馅了吧？
4,中考、高考的时候，大多数人是笑不出来的。
5,你的意思是，职业是教师的家长只占2.5%？
6,做这个统计用的…是当地教育部门工作人员，去当地小区里的学龄儿童家长那里发放并回收的调查问卷吗？是居委会大爷大妈再拿到相应的加班费用后，去小区学龄儿童家长那里发放并回收的调查问卷吗？什么？是当地教育部门敦促学校，又由学校主管人员安排给各班班主任，最后由班主任发在家长群并规定好上交时间，让家长和学生按时上交的调查问卷？那不成作业了？作业，那当然有标准答案了。
7,学生呢？老师呢？学校呢？以及这调查问卷怎么填的自己心里没点数吗？
8,97.5%这个数据怎么来的？问卷发了多少？收回多少？有多少有效问卷？问卷是否匿名？被调研的范围多大？。。。
9,微博投票显示，超6成人支持禁食狗肉！川普表示，没有人比我更懂投票！
10,就别97.5%了。自信点100%不好吗？
11,只有老师受伤的世界，达成。
12,破案了，约有2.5%的家长从事教培行业。
13,***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************我觉得我懂得，你也懂得
14,@权限采用他的图，很妙
15,果然中国富人只有2.5%。
16,新学期开学不足一月双减立竿见影卫健委三胎鸭梨山大
17,我国已建成多所世界一流大学（xiao~）
18,才97.5%？
19,这个表我看了。来来来，我们不谈结果，敢公布问卷内容吗？
20,我建议写85.5%，因为这样看起来会更真一些。
21,第一个，等期中考试成绩，补课机构第一波大丰收。第二个，坐等两年后小学三年级期中考试，补课机构第二个大丰收。
22,我上学的时候有人来学校调查，抽了我和另一个学生问话，我说有周末补课收费行为另一个学生拉我衣袖，问完之后让我们出去，那个学生对我说你怎么说那个呢。所以家长的这个数据嘛。。。。。。
23,我可以求求教育部少折腾点吗？今天一个主意，明天一个主意，个个不见效果，还在那折腾，折腾的所有人都疲惫不堪。放过家长，放过孩子，放过老师，放过学校。让他们过平常日子，正常得上课学习，做点正常人做的作业，就一条各个部门少在学校配合什么活动。因为家长真的很累，下班又上班。
24,嗯？样本来源。。是清华附中吗
25,心里发毛的满意，忐忑的歌怎么唱来着，啊……，高考不改你让我减负，我减就是了，怎么办？
