,评论
0,我其实怕的是这个调查结果会被顶层用做政策反馈，然后会觉得社会问题解决起来如此简单，只要顶住压力大干特干就行，什么当时提反对意见的专家学者都是纸老虎，危言耸听。当年大跃进也是同样背景从一开始15年超英赶美，后来5年再后来3年。上面提要求下面放卫星，然后上面根据下面放的卫星提高要求，下面根据上面的要求放更高的卫星，没有一个负反馈渠道。
1,一位家长退群，全国家长声援，中国式教育减压究竟还有无希望？批改学生的作业本是老师的天职，为何成了家长下班后无法摆脱的难题？老师群体真的江河日下，越来越不负责任吗？“双减新政“出台后，具体成效究竟怎样？
2,一个漂亮的小姐姐走过来，手里拿着一份调查问卷，你不想自己表现的像个傻子一样小姐姐开始记录：请问您有在上学的孩子吗？是的请问您认为孩子应该有一个快乐的童年吗是的请问您是否认为过重的学业压力会对孩子造成生理或心理上的危害吗是的请问您是否觉得现在的校外培训会对您的家庭造成较大的经济压力吗是的请问您是否想要减轻自己的经济压力吗是的那么请问您，是否赞同教育部的双减政策呢？是。。。。。的或者我们可以换一种说法一个漂亮的小姐姐走过来，手里拿着一份调查问卷，你不想自己表现的像个傻子一样小姐姐开始记录：请问您是否有在上学的孩子呢是的请问您是否担心孩子的未来发展是的请问您是否觉得孩子未来的竞争会非常的激烈是的请问您是否认为孩子应该学习更多的技能以应对日后的竞争是的请问您是否坚信公立学校的教育无法做到面面俱到呢是的那请问您是否不完全赞同双减政策呢是。。。。的？到时候我们只要发布最后一个问题就可以了，一般有信誉的统计工作者不会这么干，还好他们人不多。
3,我看了相关新闻内容。监测平台以二维码形式邀请家长无记名通过网络直接填写调查问卷，共收到5737.7万份家长问卷，99.6%的学生家长反映，本学期老师没有给家长布置作业或要求家长批改作业。基础教育“双减工作”监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。我很好奇那2.5%的家长是什么情况，怎么想的？为什么会对双减工作不满意？据我所知，目前校内作业已经大幅减少，课后延迟放学也基本上落实了，应该说大大减少了家长的负担，孩子的学业压力也减小不少，按理说应该是皆大欢喜啊，怎么还有2.5%的家长不满意呢？这个现象值得研究一下。
4,我是属于2.5%的，因为我家老二初三了，二百多天后中考，正赶上双减，倒霉到家了，补课的学校周末两天不补课了，改周一到周五的晚八点以后，看看，到了19：30孩子放学的时候，校门口家长排队接孩子，然后到小饭馆吃碗面，急急忙忙去补课，两小时后回家，加路上时间，已经22：30了，孩子开始写学校留的作业，大概一个半小时写完，此时已经23：59了，洗漱睡觉，5分钟完事儿，上床时已经零时10分了，感觉时间比以前紧张多了，以前周日周六补课时间多充足啊，而且开学不到一月，我就填了十来个问卷调查，各种不知名的，说不上的问卷，我填表之前问候了好多次教育部门的MM，不知道教育局知道不？现在我们这里周六周日补课班已经改成体能训练班了，前半小时做些体育小动作，然后写英语卷子，然后考英语体育知识(大伙应该懂)然后又讲体育英语。嗯，我正在打听有没有体育数学老师，目前还没有找到，找到了再更。
5,居然有2.5%的人是五十万小心拜登打2.5%牌
6,居然有2.5%的人是五十万小心拜登打2.5%牌
7,我先来讲几个故事，大家再来谈双减、补课的必要性吧。各位兄弟姐妹，权当一个笑话听。我做过挺长时间的小学生晚托班。说是晚托班，其实就是父母996不便接娃放学，找个人帮忙放学接娃，顺便吃个晚饭，写完作业再回家。晚托班总归比请保姆便宜，而且一般保姆其实是不懂小学生作业的。我们经常有9点钟父母才下班到这边来接娃回去的。这是前提。这里面有几个娃，我是特别关注的。第一个，简称G吧。这个小姑娘一年级，日常不及格。她妈妈不爱检查她的作业，但一直责怪她粗心。但是，粗心大多数时候只会从95分变成90分，很少有不及格是粗心引起的。G的日常对话非常正常，而且像个小大人的样子，闲聊起来接话很快。说明智商没问题。问题目会不会做，也都会做。于是我决定盯着她写作业的状态看。原来她不管做什么，过一会儿就会停下来走神。可以是冥想，也可以是玩文具，又或者倾听别的小朋友讲话。所以经常写到一半不写了，字少半边，少最后一个点，算出来答案不写跳过去等等。是否多动症，这不是我可以解决的，马上和老板讲，当天家长来接，就沟通建议送医，并强烈建议家长不要责备、打骂粗心这个问题。写作业的部分，死死盯住，刚开始走神就要提醒，并要求她自己提醒自己。经半个学期后，明显改善。学校里原来的班主任对她有成见，只批评不表扬，家长自身也有转班的意愿。我们极力赞成转班，帮助家长下定决心。成绩正常后，其母又决定全职带娃，遂离开晚托班。想来这个小姑娘以后不会再这么差了。第二个，简称L。这个小男孩两年级了，表现欲极强，极尽所能引起注意，特别是喜欢影响其他小朋友。学校里老师对其深恶痛绝，引发逆反心理，他已经开始无差别对抗所有老师。无奈的是，作为晚托班集体上课的老师，我仍然有维持秩序的基本诉求，因此也属于被对抗之列，没有任何立场来帮助他。毕竟，其他学生正常写作业的权利必须得到保障。其实对于这样的学生，一对一的心理支持，辅以家校联动，会有一定效果。要向他挑明这种做法会使人厌恶。其实学生本人绝对是知道这一点的，内心不愿意承认罢了。让他承认这样做对他自己有害，然后给他提供一个新的方法，试一试，再让其他学生配合一点，慢慢就可以有所改观。但这个只有学校里老师能做到，我管不了。由于他完全不信任我，只得放弃。L的未来非常悲观。他的学习成绩逐步下降，不愿意听课和做作业，彻底厌学是大概率事件，甚至会从对抗老师变为对抗整个社会规范，发展成反社会人格。但他的这种对抗不是天生的，而是一年级时班主任老师的解决方法不正确引起的。可以说就是一个老师毁掉了一个孩子的典型。这个孩子本来是可以教好的。第三个，简称S。这个小姑娘也是一年级。典型表现是对老师的批评不发一言。凶她会哭，但就是不说话。平时都是我接她放学，她还有一个同班同学J也在我们这里上晚托班。有一天放学后，J出来时，说S被班主任老师留下了。于是我打电话喊人支援，先把J接回去写作业，我继续等S。一直等了快两个小时，天都要黑了，S才和班主任老师一起出来。她的班主任老师非常严厉的跟我说：“你是晚托班老师对吧？你回去转告一下她家长，S这个小孩子脾气特别差的，无缘无故就打J，我问她她也不说话，就不承认。还有，她有一张练习卷要家长签字的，今天还没交，让家长回家仔细找找。”据我在晚托班上观察，J和S是非常好的朋友，经常互相讲话、一起玩耍和抄作业。所以这个事我一下子就明白怎么回事了。极大概率是课间J和S开玩笑，嘴贱说了句什么（比如嘲笑她成绩差），S有点不高兴就轻轻打了一下。小孩子嘛，互相告状很正常的，哪知道老师会这么严肃对待。老师对成绩不太好的学生又会有天然的敌视，如果S回答说“是J先骂我的”，以老师正常的态度就会回答说：“她骂你你也不可以打人啊，你可以告诉老师啊。”但是，一来她俩是朋友，为什么要告诉老师呢？二来可以想象得到，如果S真的因为J骂她去告老师，老师会站在哪一边呢？老师肯定会问有没有，然后判S一个诬告。我没有再批评S一句话。我牵着她的手，抱着晚托班的红色牌子走回去，并对她说：“S，今天这个事，我知道不是你的问题。关于打人这个事，我不会跟家长讲的。那张练习卷，你可能没有考好，但是如果你们要开家长会，最后还是要知道的，你不如自己承认。这件事你自己选择。”坦白讲，当时家校互动微信群已经很普遍了，我也不知道这位班主任老师为什么要我们晚托班老师转达，可能老师和家长之间的沟通也有些问题。也是幸好他要求我转达，我可以隐去这些错误信息，要不然S除了在学校里白受冤枉挨骂这两个小时，回家怕是还要挨顿揍。但是，你问我怎么改变这个沉默对抗的问题，我是真的没有办法。如果说什么都会被“你不要找理由”来反驳，那最好的办法自然是一句话都不说。在受一个委屈和受两个委屈之间，S选择了受一个委屈。据我观察，后来其他晚托班的老师批评她，她也是这个样，已经习惯了。我又不是主要管她那个班的，没办法。这种沉默的对抗，老师要占99%的责任。这位班主任不仅疏于观察，不知道J和S本来就喜欢闹着玩，又采取错误的批评教育方法，令学生产生对抗心态，还对学生有成见，教学成果怎么会好呢？后来，大家作业写完了做活动，我偶尔过去巡视，她会显得很高兴的样子。也许，这就是我能做的最好的部分。不是我要开地图炮，但是，绝大部分老师，都是水平很差很差的。补课的老师，尤其是一对一的老师，或者我们这种小班的，能够给某个特定小朋友更多的关注，更多的是做一些心理建设，养成良好的习惯，尽量不要厌学，不要产生对抗老师的情绪。谁小时候没犯过错，没被冤枉过？这些小朋友做的事，老师小时候没做过吗？怎么自己当老师了，这些小时候的经历都忘记了呢？在学校老师水平非常之差、家长可能长期以来已经不被信任的情况下，补课老师作为中立第三方，其实更有可能赢取学生的信任，引导学生走上正轨。我相信知乎有很多大学生做一对一家教，是真的会遇到很多厌学的小朋友，也真的能改变其中的少数几个。而这，就是家教最基本的意义。我知道禁止补课在国家的立场上，绝对是公平的。如果把全体学生当做一个完全相同的集体，那么这是没有任何问题的。但是，这些抽到垃圾老师或垃圾家长，或生了病的特殊小朋友，永远失去了第三方老师努力尝试弥补的机会。他们，也是人。我老婆一直坚定支持禁止补课，因为对大部分学生来说，补课并没有什么卵用。是的，我同意这个观点。但就那一个学期的晚托班，一共20来个小学生，有问题的除了这3个，至少还有6个。以致于连我都没有太多精力分给其他几个小朋友了。你指望学校里老师怎么办呢？考试选拔的是有良好的学习习惯和能力，并且智商高的学生。不能提前排除那些因为随机原因辍学或厌学的学生。有些小朋友厌学，可能只是因为某天被老师顺口嘲笑了一句，然后自尊心比较强，报复心也比较重。但这不是他的错，一个七八岁的小孩子，懂得什么？大人应该对此负责，而学校里老师，根本无需对此负责。顺便问一句，这个问题的排名是怎么回事，下面那个4000多赞摆事实的，怎么排名这么低，谁点的反对？这么作秀的活动你们点什么反对？嗯？觉得这种活动很好？？？带娃下楼挖蚯蚓，认识植物认识大自然，观察蚂蚁，这不好吗？？？
8,"上午发过一次，给我删了说我违规，那我就修改一下。一下原文：想起一个小时候看过的故事美国,香港,苏联三地警察抓兔子测试美国,香港,苏联三地警察的实力,联合国将三只兔子放在三个森林中,看三地警察谁先找出兔子.任务:找出兔子第一个进森林的是美国警察,他们先花整整半天时间开会制定作战计划,严格分工,然后派特种部队快速进入森林进行地毯式搜索,结果开会耽搁了时间,兔子跑了,任务失败!!!!然后轮到香港警察,他们派了一百多号人和几十辆警车在身临其境外一字排开,由带头人用喇叭喊话:&#34;兔子,兔子,你已经被包围了,快出来投降......&#34;半天过去了,没动静.飞虎队进入森林,搜索一遍,没结果,任务失败!!!!最后是苏联警察,只有四个,先打了一天的麻将,黄昏时一人拿一警棍进入森林,没五分钟,听到森林里传来一阵动物的惨叫,苏联警察一人抽着一根烟有说有笑的出来,后面拖着一只鼻青脸肿的熊,熊奄奄一息的说到:&#34;不要再打了,我就是兔子.......&#34;"
9,这个问题在这里就是多此一举。你如果相信97.5%，那又何必跑来问？莫非剩余2.5%全在知乎？你如果不相信97.5%，那又何必跑来问？你自己都知道答案了。
