,评论
0,其余2.5%感到非常满意。
1,我还记得最近这几年的春晚满意度调查结果都达到了95%以上，与此对应的是我和周围的朋友们都在群里吐槽无聊，网上这类论调也不在少数，这个调查是调查了哪些人，是如何抽样的，不得而知。同理这份双减满意度调查也同样没说出来调查对象和抽样方法，我看到文章大概意思是对家长进行的调查，然而这个政策涉及的不仅仅是家长，还有学生、老师、学校等等，在知乎微博等等论坛里看过不少老师在吐槽这个政策了，如果都没调查老师这个群体，那还有什么可信度，又是一次作秀罢了。同时很多人都是习惯式好评，这个问卷我没见过，不知道是如何设计的，如果有的问题设计的模棱两可，那好评自然很高。而且我觉得既然是政策满意度，政策也不可能刚实施一个月就能看出来明显效果吧，多少得等一年之后中考结束再看看效果吧。再者也没有对照，如果问题设置不是这次双减跟之前比哪个更好这么明确的话，那完全可能有家长认为两个都可以接受，这样一来说不定以前政策的满意度也这么高，甚至更高，那这份调查可就更自娱自乐了。
2,投票的人什么都无法决定，计票的人决定一切。——钢铁侠
3,这个问题就可以一字不落的写进GMAT的作文题目里面，作为驳论文的那个反面教材的材料。基本把常规统计学数据解读时候能犯的错误，一个不落全犯了。第一，你并没有说你的抽样范围是什么，抽样方法是什么？你就是说有97.5%，想请问这样的调查有任何意义吗？你如何确定你的样本具有代表性？如果没有代表性的话，数据又有什么意义呢？第二，作为一个调查，你不应该抽查纯粹的利益相关者。作为家长来说。是减负工作直接的利益相关者，减负政策推出以后，他们可以少花钱，不用再把孩子送到培训组织人也可以放心一些。可以说他们是妥妥的利益相关者，而且他们的利益趋向于一个方向，都是得益者。所以你问这个人群进行调查到底有什么意义呢？就像人群中一部份人要都给另一部份人100块钱，你觉得这个提议会被支持吗？然后你去采访的全是领钱的人，那他们当然支持了，可这样出来的数据结果有什么说明意义呢？你的这个过程问过老师吗？问过教培机构的人吗？作为一个社会调查，为什么这些人也是利益相关者，但却不配发表意见？问过招聘者吗？问过录取学生的大学吗？问过以后使用学生的科研机构吗？那么如果这些人的意见也被考虑其中，你还有97.5吗？第三，抽样的时间问题，现在是新学期刚刚开始中高考也过去有个几个月时间了。双检政策也刚刚开始。这时候抽样其实你看到了效果，其实它有一定的片面性。比如你如果把抽样的时间放在中考高考结束以后，当很多人拿到的成绩并不理想的时候，也许他们也会怪没有地方补习，那个时候人们的态度可能就跟现在不一样了。第四，是抽样方式的问题。看这个意思，这是一个网上抽样。什么人会参与到网上抽样？比如正在读本问题本答案的你们，你们是否接受到了这样的抽样调查的邀请，想必没有吧。那么问题来了，这个抽样是怎么进行的？你所投放的渠道是什么？比如你是在某些互联网频道上投放，那么贫困山区革命老区，中小城市的很多人，很多家长恰恰不像大城市父母那样访问这些网络，甚至很多人智能手机，互联网玩的并不利索。那么他们的意见是不是就盲目的已经被代表了？所以严谨的来讲，这个调查有太多的问题，并不能达到题目所说的双减工作成果令人满意这个结论。虽然从逻辑上说大部分家长应该都是欢迎的，但要么你不用数字，如果你一定要排出统计数据来说话的话，那么不好意思，这个统计数据的生成有太多问题。
4,这个调查表前几天班主任也发在家长群里，让我们也填过了。作为一名家有刚刚进入小学一年级学习的孩子家长，来说一些感受。目前开学半个多月，确实没有书面家庭作业了。语文就是学的一些儿歌诗歌什么的，需要背一下，都很简单的，基本上孩子在课堂上就背下来了。汉字方面，回家主要练习书空，不需要书写。我还是老师布置了好几次作业，才反应过来书空是什么意思，后来问了身边一圈人，没一个人知道书空是啥意思，包括家里有一个孩子正在上小学四年级的朋友。哈哈，书写变成书空，这个估计是双减之后的最大的变化之一吧。数学和英语，目前都学的非常简单，需要预习和复习的内容都很少。每天都有一节体育课，有一天还是两节，娃累得在放学回家的车上就睡着了。再说说5+2晚托班的事情。正常是3点半放学，现在延长了2小时到5点半。当然家长可以自由选择是到3点半还是4点半或5点半。目前3点半-4点半，主要是代课老师安排一些学习上的练习。4点半-5点半，主要是各种兴趣班。班主任建议孩子至少选择到4点半那一档。目前就最近2天听娃说，老师安排他们4点半这一档练字了，之前都是孩子自己看课外书。估计之前学的内容还太少了，没啥要练的。5点半这一档的兴趣班，内容就比较多了，感觉学校目前也在摸索中。目前从孩子的描述中，有画画、表演、编程、乐高、足球、羽毛球、写字等等不同的兴趣班。每个班每天上什么兴趣班，不能自由选择，听老师安排。最近我家娃在上的是编程。总得来说，我们还是挺满意的。就是孩子早上7点多出门，晚上到家要六点半了，一天要在学校呆11个小时，感觉太辛苦。才开学2周，就累得发了一次烧，之前已经好几年没有发烧了。当然也有好处，每天晚上9点多到床上几分钟就睡着了，不像原来，11点上床躺了半天还要叫爸爸妈妈。哈哈，真的太累了~
5,这种调查有意义吗？从2006年开始搞起来的素质教育，我记得2016年初中的调查里面(初三)，除了需要背会社会主义核心价值观，我们需要回答的问题如下1.一周几节体育课？答案:三节(我们学校作为特色体育传统学校，其实已经在地区内做的体育教育比较好的了，但是一周只有两节，中考这个指挥棒，搁谁身上也没办法。)2.几点到校？答案不早于8点8:30上课(7:30就要开始上早自习，我觉得也没有什么可说的，语文，英语就要趁着早晨的时候开始背)3.作业完成时间答案:不超过120分钟，我当时掌握的确实还算说得过去，大约150分钟之内完成，一般是校里前40名(500人左右的班儿)4.学校不排名你说这玩意儿能问出什么来？确实，我承认当时就是有中考，在这儿压着，初三也确实有迫不得已的理由，老师当时也让我们的统一答案了，可那些真正有诉求的呢？直接捂嘴处理吗？还是说就是为了求在新闻里广播的时候，叫做一片向好呢？
6,当初出台黄灯停交规之前，新闻播出了好多街头采访，结果是接近100%的支持率。于是黄灯停的交规新鲜热辣出炉。没实行几个月，实在执行不下去，悄悄地撤掉了。没有明确说明样本分布和统计方法的统计数据都不能看。
7,从统计学上看没毛病。全国高考录取率大约是70%，50%的学生上不了高中，大学生中211以上比例是5.2%。这样简单算下来能上211和985的学生比例仅为2.6%。也就这些人着急，其他家长反正也上不了，当然满意了。从学生比例上算，高中生、初中生、小学生，高中生比例是25%，能上211的是这25%中的5.2%。加上有意愿拼一下的也没多少，所以97.5%满意，是合理的。
8,看调研问卷怎么设计的了。但是我知道的超过80%的家长，最希望的100分方案是，所有人都减负不能培训，但是自己的娃可以去补。上海有个领导说的很对，部分人培训能提高分数，全体培训只能提高分数线。有些人希望的是成为“部分”
9,你信吗，我们班同学没一个是自愿参加“课后延时服务”的（晚上加一节课，加晚自习到9点多）我们英语老师说为了我们中考不能按双减的来（虽然她的确是个好老师）我们道法老师说现在我们初三“可比以前轻松多了”（指作业要求1.5小时然而每科1.5小时（讲政策与法律时还说双减是政策，你可以自愿报名“课后服务”）我们的考试变成了“随堂练习”，或者说填写有趣的，有意义的“项目纸”初中生“标准睡觉时间”9小时，上课时间8点往后，然而学校可以让你早到半小时去“早读”，早读困呼呼的，英语老师（上面那位）问我们谁睡够了，没人举手7点30上学的话起床得最晚7点21点多结束晚自习，回家啥也不干也快22点睡觉22-7，好家伙学校你搁这显摆数学好呢。。。我对学校对我们的减负培养真是咸因啊
